review,rating,date,bank,source,sentiment_score,sentiment_label,top_keywords,themes
very niec,5,2025-06-04,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
best app of finance,5,2025-06-04,CBE,Google Play,0.6369,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
yetemeta,1,2025-06-03,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
good,5,2025-06-03,CBE,Google Play,0.4404,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
it is not safety,1,2025-06-03,CBE,Google Play,-0.3252,negative,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
NICE bank,5,2025-06-03,CBE,Google Play,0.5473,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,-0.2263,negative,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,0.3612,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,0.2382,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
best app,5,2025-06-01,CBE,Google Play,0.6369,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Awesome bank,5,2025-06-01,CBE,Google Play,0.6249,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,0.8567,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Feature Requests
Masha alla,5,2025-05-31,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,-0.3174,negative,"app, bank, banking, best, dashen, good, mobile, super, use, work",Feature Requests
better service,5,2025-05-31,CBE,Google Play,0.4404,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Customer Support
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,0.4404,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
lower system everything,3,2025-05-30,CBE,Google Play,-0.296,negative,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Nice!,5,2025-05-30,CBE,Google Play,0.4753,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Keep it up My CBE,5,2025-05-29,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
yes good,5,2025-05-28,CBE,Google Play,0.6808,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,-0.3274,negative,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
i like everything of this app,5,2025-05-27,CBE,Google Play,0.3612,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Best,5,2025-05-26,CBE,Google Play,0.6369,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,0.9041,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
nice,5,2025-05-26,CBE,Google Play,0.4215,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
good job,5,2025-05-26,CBE,Google Play,0.4404,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Good,5,2025-05-25,CBE,Google Play,0.4404,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
it's awesome!!,5,2025-05-25,CBE,Google Play,0.6892,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
best,5,2025-05-25,CBE,Google Play,0.6369,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
thankyou every one,5,2025-05-25,CBE,Google Play,0.0,neutral,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,0.4767,positive,"app, bank, banking, best, dashen, good, mobile, super, use, work",Uncategorized
